time,力值曲线,位移曲线
2024-08-31 05:53:55,589.07,19.36
2024-08-31 05:53:56,591.62,19.36
2024-08-31 05:53:57,587.37,19.36
2024-08-31 05:53:58,589.92,19.36
2024-08-31 05:53:59,590.77,19.36
2024-08-31 05:54:00,589.92,19.36
2024-08-31 05:54:01,589.92,19.36
2024-08-31 05:54:02,589.92,19.36
2024-08-31 05:54:03,589.92,19.36
2024-08-31 05:54:04,589.92,19.36
2024-08-31 05:54:05,587.37,19.36
2024-08-31 05:54:06,586.52,19.36
2024-08-31 05:54:07,587.37,19.36
2024-08-31 05:54:08,587.37,19.36
2024-08-31 05:54:09,583.12,19.36
2024-08-31 05:54:10,583.97,19.36
2024-08-31 05:54:11,587.37,19.36
2024-08-31 05:54:12,587.37,19.36
2024-08-31 05:54:13,583.97,19.36
2024-08-31 05:54:14,588.22,19.36
2024-08-31 05:54:15,587.37,19.36
2024-08-31 05:54:16,588.22,19.36
2024-08-31 05:54:17,587.37,19.36
2024-08-31 05:54:18,584.82,19.36
2024-08-31 05:54:19,581.43,19.36
2024-08-31 05:54:20,587.37,19.36
2024-08-31 05:54:21,586.52,19.36
2024-08-31 05:54:22,582.28,19.36
2024-08-31 05:54:23,580.58,19.36
2024-08-31 05:54:24,586.52,19.36
2024-08-31 05:54:25,586.52,19.36
2024-08-31 05:54:26,586.52,19.36
2024-08-31 05:54:27,581.43,19.36
2024-08-31 05:54:28,586.52,19.36
2024-08-31 05:54:29,366.63,15.38
2024-08-31 05:54:30,217.28,8.74
2024-08-31 05:54:31,61.49,0.09
2024-08-31 05:54:32,15.95,4.91
2024-08-31 05:54:33,14.76,4.91
2024-08-31 05:54:34,14.17,4.91
2024-08-31 05:54:35,12.98,4.91
2024-08-31 05:54:36,12.39,4.91
2024-08-31 05:54:37,12.39,4.91
2024-08-31 05:54:38,11.8,4.91
2024-08-31 05:54:39,12.39,4.91
2024-08-31 05:54:40,11.2,4.91
2024-08-31 05:54:41,11.8,4.91
2024-08-31 06:11:30,250.32,1.6
2024-08-31 06:11:31,281.18,3.32
2024-08-31 06:11:32,319.29,4.97
2024-08-31 06:11:33,357.51,6.65
2024-08-31 06:11:34,389.62,8.26
2024-08-31 06:11:35,432.52,9.85
2024-08-31 06:11:36,466.74,11.42
2024-08-31 06:11:37,500.74,12.93
2024-08-31 06:11:38,537.79,14.41
2024-08-31 06:11:39,573.81,15.88
2024-08-31 06:11:40,604.43,17.33
2024-08-31 06:11:41,590.77,17.83
2024-08-31 06:11:42,588.22,17.83
2024-08-31 06:11:43,587.37,17.83
2024-08-31 06:11:44,583.12,17.83
2024-08-31 06:11:45,582.28,17.83
2024-08-31 06:11:46,582.28,17.83
2024-08-31 06:11:47,580.58,17.83
2024-08-31 06:11:48,575.5,17.83
2024-08-31 06:11:49,576.35,17.83
2024-08-31 06:11:50,576.35,17.83
2024-08-31 06:11:51,575.5,17.83
2024-08-31 06:11:52,576.35,17.83
2024-08-31 06:11:53,572.97,17.83
2024-08-31 06:11:54,571.28,17.83
2024-08-31 06:11:55,572.97,17.83
2024-08-31 06:11:56,572.13,17.83
2024-08-31 06:11:57,572.97,17.83
2024-08-31 06:11:58,572.97,17.83
2024-08-31 06:11:59,569.6,17.83
2024-08-31 06:12:00,569.6,17.83
2024-08-31 06:12:01,572.13,17.83
2024-08-31 06:12:02,566.23,17.83
2024-08-31 06:12:03,571.28,17.83
2024-08-31 06:12:04,566.23,17.83
2024-08-31 06:12:05,569.6,17.83
2024-08-31 06:12:06,569.6,17.83
2024-08-31 06:12:07,569.6,17.83
2024-08-31 06:12:08,569.6,17.83
2024-08-31 06:12:09,564.54,17.83
2024-08-31 06:12:10,566.23,17.83
2024-08-31 06:12:11,565.38,17.83
2024-08-31 06:12:12,567.91,17.83
2024-08-31 06:12:13,567.91,17.83
2024-08-31 06:12:14,565.38,17.83
2024-08-31 06:12:15,566.23,17.83
2024-08-31 06:12:16,566.23,17.83
2024-08-31 06:12:17,562.02,17.83
2024-08-31 06:12:18,562.02,17.83
2024-08-31 06:12:19,564.54,17.83
2024-08-31 06:12:20,565.38,17.83
2024-08-31 06:12:21,566.23,17.83
2024-08-31 06:12:22,565.38,17.83
2024-08-31 06:12:23,564.54,17.83
2024-08-31 06:12:24,561.18,17.83
2024-08-31 06:12:25,565.38,17.83
2024-08-31 06:12:26,563.7,17.83
2024-08-31 06:12:27,560.34,17.83
2024-08-31 06:12:28,563.7,17.83
2024-08-31 06:12:29,562.86,17.83
2024-08-31 06:12:30,562.02,17.83
2024-08-31 06:12:31,563.7,17.83
2024-08-31 06:12:32,559.5,17.83
2024-08-31 06:12:33,562.86,17.83
2024-08-31 06:12:34,562.02,17.83
2024-08-31 06:12:35,562.02,17.83
2024-08-31 06:12:36,562.02,17.83
2024-08-31 06:12:37,561.18,17.83
2024-08-31 06:12:38,562.86,17.83
2024-08-31 06:12:39,558.66,17.83
2024-08-31 06:12:40,562.02,17.83
2024-08-31 06:12:41,562.02,17.83
2024-08-31 06:12:42,562.02,17.83
2024-08-31 06:12:43,562.02,17.83
2024-08-31 06:12:44,558.66,17.83
2024-08-31 06:12:45,561.18,17.83
2024-08-31 06:12:46,561.18,17.83
2024-08-31 06:12:47,556.99,17.83
2024-08-31 06:12:48,560.34,17.83
2024-08-31 06:12:49,558.66,17.83
2024-08-31 06:12:50,561.18,17.83
2024-08-31 06:12:51,559.5,17.83
2024-08-31 06:12:52,560.34,17.83
2024-08-31 06:12:53,559.5,17.83
2024-08-31 06:12:54,560.34,17.83
2024-08-31 06:12:55,560.34,17.83
2024-08-31 06:12:56,556.99,17.83
2024-08-31 06:12:57,558.66,17.83
2024-08-31 06:12:58,556.15,17.83
2024-08-31 06:12:59,559.5,17.83
2024-08-31 06:13:00,559.5,17.83
2024-08-31 06:13:01,558.66,17.83
2024-08-31 06:13:02,556.99,17.83
2024-08-31 06:13:03,558.66,17.83
2024-08-31 06:13:04,558.66,17.83
2024-08-31 06:13:05,553.64,17.83
2024-08-31 06:13:06,558.66,17.83
2024-08-31 06:13:07,557.83,17.83
2024-08-31 06:13:08,559.5,17.83
2024-08-31 06:13:09,556.99,17.83
2024-08-31 06:13:10,558.66,17.83
2024-08-31 06:13:11,556.15,17.83
2024-08-31 06:13:12,557.83,17.83
2024-08-31 06:13:13,555.31,17.83
2024-08-31 06:13:14,557.83,17.83
2024-08-31 06:13:15,558.66,17.83
2024-08-31 06:13:16,557.83,17.83
2024-08-31 06:13:17,556.15,17.83
2024-08-31 06:13:18,558.66,17.83
2024-08-31 06:13:19,555.31,17.83
2024-08-31 06:13:20,556.99,17.83
2024-08-31 06:13:21,554.47,17.83
2024-08-31 06:13:22,558.66,17.83
2024-08-31 06:13:23,553.64,17.83
2024-08-31 06:13:24,554.47,17.83
2024-08-31 06:13:25,556.99,17.83
2024-08-31 06:13:26,557.83,17.83
2024-08-31 06:13:27,555.31,17.83
2024-08-31 06:13:28,547.79,17.78
2024-08-31 06:13:29,506.46,17.33
2024-08-31 06:13:30,465.94,16.54
2024-08-31 06:13:31,401.22,15.28
2024-08-31 06:13:32,300.86,13.34
2024-08-31 06:13:33,207.57,11.16
2024-08-31 06:13:34,74.56,8.15
2024-08-31 06:13:35,17.14,5.02
2024-08-31 06:13:36,14.76,5.02
2024-08-31 06:13:37,13.58,5.02
2024-08-31 06:13:38,11.8,5.02
2024-08-31 06:13:39,10.02,5.02
2024-08-31 06:13:40,10.61,5.02
2024-08-31 06:13:41,10.02,5.02
2024-08-31 06:13:42,10.02,5.02
2024-08-31 06:13:43,8.84,5.02
2024-08-31 06:13:44,9.43,5.02
